No,Sheet,VN Word,VN(A),VN(B),JP Word,JP(A),JP(B),EN Word,EN(A),EN(B),Tag
657,Daily Social,Du lịch,Đi du lịch đâu rồi?,"Nhật Bản, rất đẹp.",<ruby>旅行<rt>りょこう</rt></ruby>,どこ<ruby>旅行<rt>りょこう</rt></ruby>した？,<ruby>日本<rt>にほん</rt></ruby>、とても<ruby>綺麗<rt>きれい</rt></ruby>。,Travel,Where have you traveled?,"Japan, very beautiful.",Hobby
658,Daily Social,Phim,Xem phim gì hay?,Phim Hàn hay lắm.,<ruby>映画<rt>えいが</rt></ruby>,<ruby>何<rt>なに</rt></ruby>かいい<ruby>映画<rt>えいが</rt></ruby>ある？,<ruby>韓国<rt>かんこく</rt></ruby><ruby>映画<rt>えいが</rt></ruby>がいい。,Movie,Any good movies?,Korean movies are great.,Hobby
659,Daily Social,Âm nhạc,Nghe nhạc gì?,Nhạc K-pop.,<ruby>音楽<rt>おんがく</rt></ruby>,<ruby>何<rt>なに</rt></ruby>の<ruby>音楽<rt>おんがく</rt></ruby><ruby>聴<rt>き</rt></ruby>く？,K-pop。,Music,What music?,K-pop.,Hobby
660,Daily Social,Karaoke,Đi karaoke không?,"Đi, hát bài gì?",カラオケ,カラオケ<ruby>行<rt>い</rt></ruby>く？,<ruby>行<rt>い</rt></ruby>こう、<ruby>何<rt>なに</rt></ruby><ruby>歌<rt>うた</rt></ruby>う？,Karaoke,Go karaoke?,"Sure, what to sing?",Hobby
661,Daily Social,Nấu ăn,Biết nấu ăn không?,"Biết, nấu kimchi jjigae.",<ruby>料理<rt>りょうり</rt></ruby>,<ruby>料理<rt>りょうり</rt></ruby>できる？,できるよ、キムチチゲ。,Cooking,Can you cook?,"Yeah, kimchi stew.",Hobby
662,Daily Social,Chạy bộ,Tập gì?,Chạy bộ mỗi sáng.,ジョギング,<ruby>何<rt>なに</rt></ruby>の<ruby>運動<rt>うんどう</rt></ruby>？,<ruby>毎朝<rt>まいあさ</rt></ruby>ジョギング。,Jogging,What exercise?,Jog every morning.,Hobby
663,Daily Social,Đọc sách,Đọc sách gì?,Sách kinh doanh.,<ruby>読書<rt>どくしょ</rt></ruby>,<ruby>何<rt>なに</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んでる？,ビジネス<ruby>書<rt>しょ</rt></ruby>。,Reading,What do you read?,Business books.,Hobby
664,Daily Social,Game,Chơi game gì?,Liên Minh Huyền Thoại.,ゲーム,<ruby>何<rt>なに</rt></ruby>のゲーム？,リーグ・オブ・レジェンド。,Game,What game?,League of Legends.,Hobby
665,Daily Social,Tết,Tết Việt Nam thế nào?,"Rất vui, cả nhà sum họp.",テト,ベトナムのテトはどう？,<ruby>楽<rt>たの</rt></ruby>しいよ、<ruby>家族<rt>かぞく</rt></ruby>みんなで<ruby>集<rt>あつ</rt></ruby>まる。,Tet,What's Tet like?,"Fun, whole family gathers.",Culture
666,Daily Social,Áo dài,Áo dài đẹp quá!,"Cảm ơn, mặc dịp Tết.",アオザイ,アオザイ<ruby>綺麗<rt>きれい</rt></ruby>！,ありがとう、テトの<ruby>時<rt>とき</rt></ruby>に<ruby>着<rt>き</rt></ruby>る。,Ao dai,Beautiful ao dai!,"Thanks, worn during Tet.",Culture
667,Daily Social,Nón lá,Nón lá là gì?,Nón truyền thống Việt Nam.,ノンラー,ノンラーって<ruby>何<rt>なに</rt></ruby>？,ベトナムの<ruby>伝統的<rt>でんとうてき</rt></ruby>な<ruby>帽子<rt>ぼうし</rt></ruby>。,Conical hat,What's non la?,Traditional Vietnamese hat.,Culture
668,Daily Social,Chùa,Đi chùa không?,"Đi, chùa Một Cột rất đẹp.",お<ruby>寺<rt>てら</rt></ruby>,お<ruby>寺<rt>てら</rt></ruby>に<ruby>行<rt>い</rt></ruby>く？,<ruby>行<rt>い</rt></ruby>こう、<ruby>一柱<rt>いっちゅう</rt></ruby><ruby>寺<rt>じ</rt></ruby>が<ruby>綺麗<rt>きれい</rt></ruby>。,Temple,Visit a temple?,"Sure, One Pillar is beautiful.",Culture
669,Daily Social,Lì xì,Lì xì là gì?,"Tiền mừng tuổi, bỏ bao đỏ.",お<ruby>年玉<rt>としだま</rt></ruby>,お<ruby>年玉<rt>としだま</rt></ruby>って<ruby>何<rt>なに</rt></ruby>？,<ruby>赤<rt>あか</rt></ruby>い<ruby>封筒<rt>ふうとう</rt></ruby>に<ruby>入<rt>い</rt></ruby>れるお<ruby>金<rt>かね</rt></ruby>。,Lucky money,What's li xi?,Money in red envelopes.,Culture
670,Daily Social,Trung thu,Trung thu ăn gì?,"Bánh trung thu, xem múa lân.",<ruby>中秋節<rt>ちゅうしゅうせつ</rt></ruby>,<ruby>中秋節<rt>ちゅうしゅうせつ</rt></ruby>は<ruby>何<rt>なに</rt></ruby><ruby>食<rt>た</rt></ruby>べる？,<ruby>月餅<rt>げっぺい</rt></ruby>を<ruby>食<rt>た</rt></ruby>べて<ruby>獅子<rt>しし</rt></ruby><ruby>舞<rt>まい</rt></ruby>を<ruby>見<rt>み</rt></ruby>る。,Mid-Autumn,What to eat at Mid-Autumn?,"Mooncakes, watch lion dance.",Culture
671,Daily Social,Múa lân,Múa lân là gì?,"Múa sư tử, dịp lễ hội.",<ruby>獅子<rt>しし</rt></ruby><ruby>舞<rt>まい</rt></ruby>,<ruby>獅子<rt>しし</rt></ruby><ruby>舞<rt>まい</rt></ruby>って<ruby>何<rt>なに</rt></ruby>？,<ruby>祭<rt>まつ</rt></ruby>りの<ruby>時<rt>とき</rt></ruby>のライオンダンス。,Lion dance,What's lion dance?,Lion dance at festivals.,Culture
672,Daily Social,Hoa sen,Hoa sen ý nghĩa gì?,"Quốc hoa Việt Nam, tượng trưng sự thuần khiết.",<ruby>蓮<rt>はす</rt></ruby>の<ruby>花<rt>はな</rt></ruby>,<ruby>蓮<rt>はす</rt></ruby>の<ruby>花<rt>はな</rt></ruby>の<ruby>意味<rt>いみ</rt></ruby>は？,ベトナムの<ruby>国花<rt>こっか</rt></ruby>、<ruby>清<rt>きよ</rt></ruby>らかさの<ruby>象徴<rt>しょうちょう</rt></ruby>。,Lotus,What does lotus mean?,"Vietnam's national flower, purity.",Culture
673,Daily Social,Danh thiếp,Trao danh thiếp thế nào?,"Hai tay, lịch sự.",<ruby>名刺<rt>めいし</rt></ruby>,<ruby>名刺<rt>めいし</rt></ruby>の<ruby>渡<rt>わた</rt></ruby>し<ruby>方<rt>かた</rt></ruby>は？,<ruby>両手<rt>りょうて</rt></ruby>で、<ruby>丁寧<rt>ていねい</rt></ruby>に。,Business card,How to give business cards?,"Both hands, politely.",Culture
674,Daily Social,Kính trọng,Văn hóa Việt Nam thế nào?,Kính trọng người lớn tuổi.,<ruby>尊敬<rt>そんけい</rt></ruby>する,ベトナムの<ruby>文化<rt>ぶんか</rt></ruby>は？,<ruby>年上<rt>としうえ</rt></ruby>を<ruby>尊敬<rt>そんけい</rt></ruby>する。,Respect,Vietnamese culture?,Respect for elders.,Culture
675,Daily Social,Phong thủy,Tin phong thủy không?,Nhiều người Việt tin.,<ruby>風水<rt>ふうすい</rt></ruby>,<ruby>風水<rt>ふうすい</rt></ruby>を<ruby>信<rt>しん</rt></ruby>じる？,ベトナム<ruby>人<rt>じん</rt></ruby>は<ruby>多<rt>おお</rt></ruby>くが<ruby>信<rt>しん</rt></ruby>じてる。,Feng shui,Believe in feng shui?,Many Vietnamese do.,Culture
676,Daily Social,Bánh chưng,Bánh chưng là gì?,"Bánh Tết, gạo nếp nhân thịt.",バインチュン,バインチュンって<ruby>何<rt>なに</rt></ruby>？,テトの<ruby>餅<rt>もち</rt></ruby>、もち<ruby>米<rt>ごめ</rt></ruby>に<ruby>豚肉<rt>ぶたにく</rt></ruby>。,Sticky rice cake,What's banh chung?,"Tet cake, sticky rice with pork.",Culture
677,Daily Social,Con giáp,Con giáp gì?,Tuổi Rồng.,<ruby>干支<rt>えと</rt></ruby>,<ruby>何<rt>なに</rt></ruby><ruby>年<rt>どし</rt></ruby>？,<ruby>辰<rt>たつ</rt></ruby><ruby>年<rt>どし</rt></ruby>。,Zodiac,What zodiac?,Year of the Dragon.,Culture
678,Daily Social,Học,Đang học gì?,Học tiếng Việt.,<ruby>学<rt>まな</rt></ruby>ぶ,<ruby>何<rt>なに</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby>してる？,ベトナム<ruby>語<rt>ご</rt></ruby>。,To learn,What are you studying?,Vietnamese.,Education
679,Daily Social,Phát âm,Phát âm khó không?,"Khó, thanh điệu nhiều.",<ruby>発音<rt>はつおん</rt></ruby>,<ruby>発音<rt>はつおん</rt></ruby><ruby>難<rt>むずか</rt></ruby>しい？,<ruby>難<rt>むずか</rt></ruby>しい、<ruby>声調<rt>せいちょう</rt></ruby>が<ruby>多<rt>おお</rt></ruby>い。,Pronunciation,Pronunciation hard?,"Hard, many tones.",Education
680,Daily Social,Từ vựng,Học từ vựng thế nào?,Dùng flashcard.,<ruby>単語<rt>たんご</rt></ruby>,<ruby>単語<rt>たんご</rt></ruby>はどうやって<ruby>覚<rt>おぼ</rt></ruby>える？,フラッシュカードで。,Vocabulary,How to learn vocab?,Using flashcards.,Education
681,Daily Social,Thi,Thi sao rồi?,Đỗ rồi!,<ruby>試験<rt>しけん</rt></ruby>,<ruby>試験<rt>しけん</rt></ruby>どうだった？,<ruby>合格<rt>ごうかく</rt></ruby>した！,Exam,How was the exam?,Passed!,Education
682,Daily Social,Từ điển,Dùng từ điển gì?,Google Translate.,<ruby>辞書<rt>じしょ</rt></ruby>,<ruby>何<rt>なに</rt></ruby>の<ruby>辞書<rt>じしょ</rt></ruby><ruby>使<rt>つか</rt></ruby>ってる？,Google<ruby>翻訳<rt>ほんやく</rt></ruby>。,Dictionary,What dictionary?,Google Translate.,Education
683,Daily Social,Gặp,Gặp nhau khi nào?,Thứ bảy nhé.,<ruby>会<rt>あ</rt></ruby>う,いつ<ruby>会<rt>あ</rt></ruby>う？,<ruby>土曜日<rt>どようび</rt></ruby>に。,To meet,When to meet?,Saturday.,Social
684,Daily Social,Mời,Mời anh đi ăn tối.,"Cảm ơn, mấy giờ?",<ruby>招待<rt>しょうたい</rt></ruby>する,<ruby>夕食<rt>ゆうしょく</rt></ruby>にご<ruby>招待<rt>しょうたい</rt></ruby>します。,ありがとう、<ruby>何時<rt>なんじ</rt></ruby>？,To invite,I'd like to invite you to dinner.,"Thanks, what time?",Social
685,Daily Social,Thăm,Thăm nhà anh được không?,"Được, cuối tuần đi.",<ruby>訪問<rt>ほうもん</rt></ruby>する,お<ruby>宅<rt>たく</rt></ruby>を<ruby>訪問<rt>ほうもん</rt></ruby>してもいい？,いいよ、<ruby>週末<rt>しゅうまつ</rt></ruby>に。,To visit,Can I visit your home?,"Sure, on the weekend.",Social
686,Daily Social,Tiệc,Đi tiệc không?,"Đi, tiệc gì?",パーティー,パーティーに<ruby>行<rt>い</rt></ruby>く？,<ruby>行<rt>い</rt></ruby>く、<ruby>何<rt>なん</rt></ruby>のパーティー？,Party,Go to the party?,"Sure, what party?",Social
687,Daily Social,Chúc mừng,Nghe tin vui!,Chúc mừng anh!,おめでとう,いいニュースだね！,おめでとう！,Congratulations,Good news!,Congratulations!,Social
688,Daily Social,Chia buồn,Nghe tin buồn.,Xin chia buồn.,お<ruby>悔<rt>く</rt></ruby>やみ,<ruby>悲<rt>かな</rt></ruby>しいニュースだ。,お<ruby>悔<rt>く</rt></ruby>やみ<ruby>申<rt>もう</rt></ruby>し<ruby>上<rt>あ</rt></ruby>げます。,Condolences,Sad news.,My condolences.,Social
689,Daily Social,Xin lỗi,Xin lỗi anh.,"Không sao, quên đi.",<ruby>謝<rt>あやま</rt></ruby>る,ごめんなさい。,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>、<ruby>気<rt>き</rt></ruby>にしないで。,To apologize,I'm sorry.,"It's OK, forget it.",Social
690,Daily Social,Tha thứ,Tha thứ cho tôi nhé.,"Được, không giận nữa.",<ruby>許<rt>ゆる</rt></ruby>す,<ruby>許<rt>ゆる</rt></ruby>してね。,いいよ、もう<ruby>怒<rt>おこ</rt></ruby>ってない。,To forgive,Please forgive me.,"OK, not angry anymore.",Social
691,Daily Social,Khen,Tiếng Việt giỏi quá!,"Cảm ơn, vẫn đang học.",<ruby>褒<rt>ほ</rt></ruby>める,ベトナム<ruby>語<rt>ご</rt></ruby><ruby>上手<rt>じょうず</rt></ruby>！,ありがとう、まだ<ruby>勉強中<rt>べんきょうちゅう</rt></ruby>。,To praise,Great Vietnamese!,"Thanks, still learning.",Social
692,Daily Social,Hứa,Hứa đi nhé.,Tôi hứa.,<ruby>約束<rt>やくそく</rt></ruby>する,<ruby>約束<rt>やくそく</rt></ruby>してね。,<ruby>約束<rt>やくそく</rt></ruby>する。,To promise,Promise me.,I promise.,Social
693,Daily Social,Nhớ,Anh nhớ em.,Em cũng nhớ anh.,<ruby>会<rt>あ</rt></ruby>いたい,<ruby>会<rt>あ</rt></ruby>いたい。,<ruby>私<rt>わたし</rt></ruby>も<ruby>会<rt>あ</rt></ruby>いたい。,Miss you,I miss you.,I miss you too.,Love
694,Daily Social,Yêu,Anh yêu em.,Em cũng yêu anh.,<ruby>愛<rt>あい</rt></ruby>してる,<ruby>愛<rt>あい</rt></ruby>してる。,<ruby>私<rt>わたし</rt></ruby>も<ruby>愛<rt>あい</rt></ruby>してる。,Love,I love you.,I love you too.,Love
695,Daily Social,Thích,Em thích anh từ lâu rồi.,Thật hả? Anh cũng thích em.,<ruby>好<rt>す</rt></ruby>き,ずっと<ruby>好<rt>す</rt></ruby>きだった。,<ruby>本当<rt>ほんとう</rt></ruby>？<ruby>私<rt>わたし</rt></ruby>も<ruby>好<rt>す</rt></ruby>き。,Like,I've liked you for a long time.,Really? I like you too.,Love
696,Daily Social,Hẹn hò,Mình đi hẹn hò nhé?,Đi đâu?,デートしよう,デートしよう。,どこに<ruby>行<rt>い</rt></ruby>く？,Date,Let's go on a date.,Where to?,Love
697,Daily Social,Người yêu,Anh có người yêu chưa?,"Có rồi, là em đó.",<ruby>恋人<rt>こいびと</rt></ruby>,<ruby>恋人<rt>こいびと</rt></ruby>はいる？,いるよ、<ruby>君<rt>きみ</rt></ruby>だよ。,Lover,Do you have a girlfriend?,"Yes, it's you.",Love
698,Daily Social,Xinh,Em xinh quá!,"Cảm ơn anh, anh cũng đẹp trai.",<ruby>綺麗<rt>きれい</rt></ruby>,<ruby>綺麗<rt>きれい</rt></ruby>だね！,ありがとう、あなたもイケメン。,Pretty,You're so pretty!,"Thanks, you're handsome too.",Love
699,Daily Social,Đẹp trai,Anh đẹp trai quá!,Em nói quá rồi.,イケメン,イケメンだね！,<ruby>褒<rt>ほ</rt></ruby>めすぎだよ。,Handsome,You're so handsome!,You're flattering me.,Love
700,Daily Social,Dễ thương,Em dễ thương quá!,Anh lúc nào cũng nói vậy.,かわいい,かわいいね！,いつもそう<ruby>言<rt>い</rt></ruby>うんだから。,Cute,You're so cute!,You always say that.,Love
701,Daily Social,Ghen,Anh nói chuyện với ai vậy?,"Đừng ghen, đồng nghiệp thôi.",<ruby>嫉妬<rt>しっと</rt></ruby>する,<ruby>誰<rt>だれ</rt></ruby>と<ruby>話<rt>はな</rt></ruby>してたの？,<ruby>嫉妬<rt>しっと</rt></ruby>しないで、<ruby>同僚<rt>どうりょう</rt></ruby>だよ。,Jealous,Who were you talking to?,"Don't be jealous, just a colleague.",Love
702,Daily Social,Giận,Em giận anh rồi.,"Xin lỗi em, anh sai rồi.",<ruby>怒<rt>おこ</rt></ruby>る,<ruby>怒<rt>おこ</rt></ruby>ってるの。,ごめん、<ruby>僕<rt>ぼく</rt></ruby>が<ruby>悪<rt>わる</rt></ruby>かった。,Angry,I'm mad at you.,"Sorry, I was wrong.",Love
703,Daily Social,Làm hòa,Mình làm hòa nhé.,"Ừ, anh xin lỗi.",<ruby>仲直<rt>なかなお</rt></ruby>りしよう,<ruby>仲直<rt>なかなお</rt></ruby>りしよう。,うん、ごめんね。,Make up,Let's make up.,"OK, I'm sorry.",Love
704,Daily Social,Ôm,Ôm anh một cái.,Đến đây.,<ruby>抱<rt>だ</rt></ruby>きしめて,ハグして。,おいで。,Hug,Give me a hug.,Come here.,Love
705,Daily Social,Hôn,Hôn em đi.,Nhắm mắt lại.,キスして,キスして。,<ruby>目<rt>め</rt></ruby>を<ruby>閉<rt>と</rt></ruby>じて。,Kiss,Kiss me.,Close your eyes.,Love
706,Daily Social,Nắm tay,Nắm tay em đi.,Tay anh ấm quá.,<ruby>手<rt>て</rt></ruby>をつないで,<ruby>手<rt>て</rt></ruby>をつないで。,あなたの<ruby>手<rt>て</rt></ruby><ruby>温<rt>あたた</rt></ruby>かい。,Hold hands,Hold my hand.,Your hand is so warm.,Love
707,Daily Social,Đón,Anh đón em nhé?,Mấy giờ?,<ruby>迎<rt>むか</rt></ruby>えに<ruby>行<rt>い</rt></ruby>く,<ruby>迎<rt>むか</rt></ruby>えに<ruby>行<rt>い</rt></ruby>くよ。,<ruby>何時<rt>なんじ</rt></ruby>？,Pick up,I'll pick you up.,What time?,Love
708,Daily Social,Về nhà,Về nhà cùng nhé.,"Ừ, đi thôi.",<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>帰<rt>かえ</rt></ruby>ろう,<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>帰<rt>かえ</rt></ruby>ろう。,うん、<ruby>行<rt>い</rt></ruby>こう。,Go home together,Let's go home together.,"Yeah, let's go.",Love
709,Daily Social,Nấu cho,Tối nay anh nấu cho em nhé.,Thật hả? Vui quá!,<ruby>作<rt>つく</rt></ruby>ってあげる,<ruby>今夜<rt>こんや</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby><ruby>作<rt>つく</rt></ruby>ってあげる。,<ruby>本当<rt>ほんとう</rt></ruby>？<ruby>嬉<rt>うれ</rt></ruby>しい！,Cook for you,I'll cook for you tonight.,Really? So happy!,Love
710,Daily Social,Quà,Anh có quà cho em.,Là gì? Mở xem nào!,プレゼント,プレゼントがあるよ。,<ruby>何<rt>なに</rt></ruby>？<ruby>開<rt>あ</rt></ruby>けてみよう！,Gift,I have a gift for you.,What? Let me open it!,Love
711,Daily Social,Kỷ niệm,Hôm nay kỷ niệm 1 năm mình.,Anh nhớ! Đi ăn nhé.,<ruby>記念日<rt>きねんび</rt></ruby>,<ruby>今日<rt>きょう</rt></ruby>は<ruby>付<rt>つ</rt></ruby>き<ruby>合<rt>あ</rt></ruby>って1<ruby>年<rt>ねん</rt></ruby>。,<ruby>覚<rt>おぼ</rt></ruby>えてる！<ruby>食事<rt>しょくじ</rt></ruby>に<ruby>行<rt>い</rt></ruby>こう。,Anniversary,Today's our 1-year anniversary.,I remembered! Let's eat out.,Love
712,Daily Social,Cầu hôn,"Em, lấy anh nhé?",Anh... em đồng ý!,プロポーズ,<ruby>結婚<rt>けっこん</rt></ruby>してくれる？,…はい！,Propose,Will you marry me?,"Yes, I will!",Love
713,Daily Social,Hạnh phúc,Ở bên anh em hạnh phúc.,Anh cũng vậy.,<ruby>幸<rt>しあわ</rt></ruby>せ,あなたといると<ruby>幸<rt>しあわ</rt></ruby>せ。,<ruby>僕<rt>ぼく</rt></ruby>もだよ。,Happy,I'm happy with you.,Me too.,Love
714,Daily Social,Tin nhắn,Gửi tin nhắn cho em nhé.,Nhớ nhắn ngọt ngọt.,メッセージ,メッセージ<ruby>送<rt>おく</rt></ruby>るね。,<ruby>甘<rt>あま</rt></ruby>いメッセージにしてね。,Text,I'll text you.,Send a sweet one.,Love
715,Daily Social,Gọi điện,Tối gọi điện cho em nhé.,"Ừ, đợi điện thoại anh.",<ruby>電話<rt>でんわ</rt></ruby>する,<ruby>今夜<rt>こんや</rt></ruby><ruby>電話<rt>でんわ</rt></ruby>するね。,うん、<ruby>待<rt>ま</rt></ruby>ってるね。,Call,I'll call you tonight.,"OK, I'll wait for your call.",Love
716,Daily Social,Lo lắng,Sao anh chưa về?,"Đừng lo, anh sắp về rồi.",<ruby>心配<rt>しんぱい</rt></ruby>する,なぜまだ<ruby>帰<rt>かえ</rt></ruby>ってないの？,<ruby>心配<rt>しんぱい</rt></ruby>しないで、もうすぐ<ruby>帰<rt>かえ</rt></ruby>る。,Worry,Why aren't you home yet?,"Don't worry, almost there.",Love
717,Daily Social,Chờ,Chờ em 5 phút.,Nhanh lên nhé!,<ruby>待<rt>ま</rt></ruby>って,5<ruby>分<rt>ぷん</rt></ruby><ruby>待<rt>ま</rt></ruby>って。,<ruby>早<rt>はや</rt></ruby>くしてね！,Wait,Wait 5 minutes.,Hurry up!,Love
718,Daily Social,Chiều,Anh chiều em quá!,Vì em xứng đáng mà.,<ruby>甘<rt>あま</rt></ruby>やかす,<ruby>甘<rt>あま</rt></ruby>やかしすぎだよ！,<ruby>君<rt>きみ</rt></ruby>にはそうしたいから。,Spoil,You spoil me!,Because you deserve it.,Love
719,Daily Social,Tương lai,Tương lai mình thế nào?,Ở bên nhau mãi.,<ruby>将来<rt>しょうらい</rt></ruby>,<ruby>私<rt>わたし</rt></ruby>たちの<ruby>将来<rt>しょうらい</rt></ruby>は？,ずっと<ruby>一緒<rt>いっしょ</rt></ruby>にいよう。,Future,What about our future?,Let's be together forever.,Love
720,Daily Social,Giới thiệu bố mẹ,Giới thiệu em với bố mẹ nhé.,Em hồi hộp quá.,<ruby>両親<rt>りょうしん</rt></ruby>に<ruby>紹介<rt>しょうかい</rt></ruby>,<ruby>両親<rt>りょうしん</rt></ruby>に<ruby>紹介<rt>しょうかい</rt></ruby>するね。,<ruby>緊張<rt>きんちょう</rt></ruby>する。,Introduce to parents,I'll introduce you to my parents.,I'm so nervous.,Love
721,Daily Social,Cãi nhau,Đừng cãi nhau nữa.,"Ừ, mình nói chuyện bình tĩnh.",<ruby>喧嘩<rt>けんか</rt></ruby>する,もう<ruby>喧嘩<rt>けんか</rt></ruby>はやめよう。,うん、<ruby>落<rt>お</rt></ruby>ち<ruby>着<rt>つ</rt></ruby>いて<ruby>話<rt>はな</rt></ruby>そう。,To quarrel,Let's stop fighting.,"Yeah, let's talk calmly.",Love
722,Daily Social,Tin tưởng,Em tin anh.,"Cảm ơn em, anh sẽ không phụ em.",<ruby>信<rt>しん</rt></ruby>じる,あなたを<ruby>信<rt>しん</rt></ruby>じてる。,ありがとう、<ruby>裏切<rt>うらぎ</rt></ruby>らないよ。,Trust,I trust you.,"Thanks, I won't let you down.",Love
723,Daily Social,Chung thủy,Anh có chung thủy không?,"Luôn luôn, chỉ có em.",<ruby>一途<rt>いちず</rt></ruby>,<ruby>一途<rt>いちず</rt></ruby>でいてくれる？,いつも、<ruby>君<rt>きみ</rt></ruby>だけだよ。,Faithful,Will you be faithful?,"Always, only you.",Love
724,Daily Social,Chia tay,Mình chia tay nhé.,Tại sao? Cho anh cơ hội.,<ruby>別<rt>わか</rt></ruby>れよう,<ruby>別<rt>わか</rt></ruby>れよう。,なぜ？チャンスをください。,Break up,Let's break up.,Why? Give me a chance.,Love
725,Daily Social,Quay lại,Quay lại với anh được không?,"Anh sẽ thay đổi, em hứa.",<ruby>復縁<rt>ふくえん</rt></ruby>する,やり<ruby>直<rt>なお</rt></ruby>せない？,<ruby>変<rt>か</rt></ruby>わるから、<ruby>約束<rt>やくそく</rt></ruby>する。,Get back together,Can we get back together?,"I'll change, I promise.",Love
726,Daily Social,Chăm sóc,Em bị ốm rồi.,Anh chăm sóc em nhé.,<ruby>看病<rt>かんびょう</rt></ruby>する,<ruby>具合<rt>ぐあい</rt></ruby><ruby>悪<rt>わる</rt></ruby>い。,<ruby>看病<rt>かんびょう</rt></ruby>するよ。,Take care of,I'm sick.,I'll take care of you.,Love
727,Daily Social,Lãng mạn,Anh lãng mạn quá!,Vì em xứng đáng.,ロマンチック,ロマンチックだね！,<ruby>君<rt>きみ</rt></ruby>のためだから。,Romantic,You're so romantic!,Because it's for you.,Love
728,Daily Social,Mãi mãi,Yêu em mãi mãi.,"Em cũng vậy, mãi mãi.",ずっと,ずっと<ruby>愛<rt>あい</rt></ruby>してる。,<ruby>私<rt>わたし</rt></ruby>も、ずっと。,Forever,Love you forever.,"Me too, forever.",Love
729,Daily Social,Ngủ ngon,Ngủ ngon nhé em.,"Ngủ ngon anh, mơ đẹp.",おやすみ,おやすみ。,おやすみ、いい<ruby>夢<rt>ゆめ</rt></ruby><ruby>見<rt>み</rt></ruby>てね。,Good night,Good night babe.,"Night, sweet dreams.",Love
730,Daily Social,Dậy chưa,Dậy chưa em?,5 phút nữa...,<ruby>起<rt>お</rt></ruby>きた？,もう<ruby>起<rt>お</rt></ruby>きた？,あと5<ruby>分<rt>ぷん</rt></ruby>…,You up?,Are you awake?,5 more minutes...,Love
731,Daily Social,Ăn sáng,Ăn sáng chưa em?,"Chưa, anh mua gì cho em đi.",<ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>,<ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby><ruby>食<rt>た</rt></ruby>べた？,まだ、<ruby>何<rt>なに</rt></ruby>か<ruby>買<rt>か</rt></ruby>ってきて。,Had breakfast?,Had breakfast?,"Not yet, buy me something.",Love
732,Daily Social,Về đến chưa,Về đến chưa em?,"Về rồi, anh yên tâm.",<ruby>着<rt>つ</rt></ruby>いた？,もう<ruby>着<rt>つ</rt></ruby>いた？,<ruby>着<rt>つ</rt></ruby>いたよ、<ruby>安心<rt>あんしん</rt></ruby>して。,Home yet?,Are you home yet?,"Yes, don't worry.",Love
733,Daily Social,Mặc đẹp,Mặc gì đi hẹn hò?,Mặc gì cũng đẹp.,<ruby>何<rt>なに</rt></ruby><ruby>着<rt>き</rt></ruby>る？,デートに<ruby>何<rt>なに</rt></ruby><ruby>着<rt>き</rt></ruby>る？,<ruby>何<rt>なに</rt></ruby>を<ruby>着<rt>き</rt></ruby>ても<ruby>綺麗<rt>きれい</rt></ruby>だよ。,What to wear,What to wear for the date?,You look pretty in anything.,Love
734,Daily Social,Chụp ảnh,Chụp ảnh cùng nhé!,Đứng gần lại.,<ruby>写真<rt>しゃしん</rt></ruby><ruby>撮<rt>と</rt></ruby>ろう,<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>写真<rt>しゃしん</rt></ruby><ruby>撮<rt>と</rt></ruby>ろう！,もっと<ruby>近<rt>ちか</rt></ruby>づいて。,Take a photo,Let's take a pic together!,Come closer.,Love
735,Daily Social,Selfie,Selfie đi.,Cười lên nào!,セルフィー,セルフィー<ruby>撮<rt>と</rt></ruby>ろう。,<ruby>笑<rt>わら</rt></ruby>って！,Selfie,Let's take a selfie.,Smile!,Love
736,Daily Social,Đợi,Em đợi anh nhé.,"Nhanh lên, em lạnh.",<ruby>待<rt>ま</rt></ruby>ってて,<ruby>待<rt>ま</rt></ruby>っててね。,<ruby>早<rt>はや</rt></ruby>くして、<ruby>寒<rt>さむ</rt></ruby>い。,Wait for me,Wait for me.,"Hurry, I'm cold.",Love
737,Daily Social,Xem phim,Xem phim gì?,Phim tình cảm nhé.,<ruby>映画<rt>えいが</rt></ruby><ruby>見<rt>み</rt></ruby>よう,<ruby>何<rt>なに</rt></ruby>の<ruby>映画<rt>えいが</rt></ruby><ruby>見<rt>み</rt></ruby>る？,<ruby>恋愛<rt>れんあい</rt></ruby><ruby>映画<rt>えいが</rt></ruby>にしよう。,Watch movie,What movie to watch?,A romance.,Love
